backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00393
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03480
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26763
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00382
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03380
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26840
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00495
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04234
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26808
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00380
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03414
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26853
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00054
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00416
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03652
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26650
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00399
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03451
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26873
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00382
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03319
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26859
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00055
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00420
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03613
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26778
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00381
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03419
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27155
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00056
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00430
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03569
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26723
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00054
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00423
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03697
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.30362
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00065
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00496
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04207
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26881
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00401
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03534
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26848
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00053
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00401
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03531
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26573
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00501
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03810
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26875
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00397
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03559
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.45562
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00062
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00472
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04117
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26641
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00379
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03405
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27118
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00051
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00391
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03526
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26966
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00054
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00427
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03533
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28253
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00499
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04302
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26960
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00065
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00500
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04277
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27094
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00049
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00380
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03356
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27929
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00057
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00429
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03776
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26955
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00390
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03410
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26959
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00048
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00379
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03274
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28204
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00066
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00498
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04155
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26846
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00051
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00388
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03523
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28224
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00059
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00475
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04052
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27247
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00503
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03688
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26741
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00065
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00496
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04255
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27134
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00055
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00403
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03621
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27694
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00050
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00383
