backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.47220
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.61618
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04917
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.38314
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,3.04455
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04715
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37220
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97153
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04673
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.36965
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97658
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04690
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37129
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97145
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04771
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37263
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,2.97598
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.54610
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,4.14552
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,33.28305
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.13374
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,1.06927
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,8.71607
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.13259
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,1.06845
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,8.70950
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.13248
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,1.06980
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,8.69624
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.13233
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,1.06678
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,8.73583
myGEMM.cl, 5,16,-cl-std=CL1.2,512,0.31854
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,2.49359
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,20.28981
myGEMM.cl, 5,16,-cl-std=CL1.2,512,0.05405
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.42882
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,3.40585
myGEMM.cl, 5,16,-cl-std=CL1.2,512,0.05404
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.42500
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,3.52643
myGEMM.cl, 5,16,-cl-std=CL1.2,512,0.05407
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.42679
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,3.40692
myGEMM.cl, 5,16,-cl-std=CL1.2,512,0.05453
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.42835
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,3.40854
myGEMM.cl, 5, 8,-cl-std=CL1.2,512,0.46047
myGEMM.cl, 5, 8,-cl-std=CL1.2,1024,3.72346
myGEMM.cl, 5, 8,-cl-std=CL1.2,2048,30.40760
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08733
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70196
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.92380
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08750
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70096
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.98245
myGEMM.cl, 3, 8,-cl-std=CL1.2,512,0.08734
myGEMM.cl, 3, 8,-cl-std=CL1.2,1024,0.70200
myGEMM.cl, 3, 8,-cl-std=CL1.2,2048,5.97151
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.22204
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,1.69981
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,14.20648
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05419
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43025
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43715
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05295
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.44700
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.43653
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05265
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43034
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.41655
myGEMM.cl, 3,16,-cl-std=CL1.2,512,0.05443
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.43710
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,3.42607
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05563
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48594
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.76026
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05869
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.49369
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.78145
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05888
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.48185
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.70295
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05904
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.50488
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.66614
myGEMM.cl, 4, 8,-cl-std=CL1.2,512,0.05828
myGEMM.cl, 4, 8,-cl-std=CL1.2,1024,0.47220
myGEMM.cl, 4, 8,-cl-std=CL1.2,2048,3.61618
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04917
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.38314
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,3.04455
myGEMM.cl, 4,16,-cl-std=CL1.2,512,0.04715
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.37220
